"item_id","dept_id","cat_id","store_id","state_id","d_1942","d_1943","d_1944","d_1945","d_1946","d_1947","d_1948","d_1949","d_1950","d_1951","d_1952","d_1953","d_1954","d_1955","d_1956","d_1957","d_1958","d_1959","d_1960","d_1961","d_1962","d_1963","d_1964","d_1965","d_1966","d_1967","d_1968","d_1969"
"HOBBIES_2_001","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HOBBIES_2_002","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"HOBBIES_2_003","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"HOBBIES_2_004","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_005","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"HOBBIES_2_006","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_007","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"HOBBIES_2_008","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
"HOBBIES_2_009","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,0,1,0,0,5,0,0
"HOBBIES_2_010","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HOBBIES_2_011","HOBBIES_2","HOBBIES","WI_1","WI",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_012","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_013","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_014","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0
"HOBBIES_2_015","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_016","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"HOBBIES_2_017","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"HOBBIES_2_018","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,2,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"HOBBIES_2_019","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"HOBBIES_2_020","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_021","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"HOBBIES_2_022","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOBBIES_2_023","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"HOBBIES_2_024","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,2,1,2,1,1,0,0,0,1,1,0
"HOBBIES_2_025","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
"HOBBIES_2_026","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,1,2,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
"HOBBIES_2_027","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_028","HOBBIES_2","HOBBIES","WI_1","WI",0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
"HOBBIES_2_029","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
"HOBBIES_2_030","HOBBIES_2","HOBBIES","WI_1","WI",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"HOBBIES_2_031","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"HOBBIES_2_032","HOBBIES_2","HOBBIES","WI_1","WI",0,3,0,0,2,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,5,0,0,0,0
"HOBBIES_2_033","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,1,2,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,1,0,1,1,0,4,3
"HOBBIES_2_034","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_035","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HOBBIES_2_036","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_037","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
"HOBBIES_2_038","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1
"HOBBIES_2_039","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_040","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_041","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0
"HOBBIES_2_042","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_043","HOBBIES_2","HOBBIES","WI_1","WI",2,0,1,0,1,4,0,2,2,1,0,3,2,0,2,4,1,0,2,0,0,0,0,0,1,4,6,4
"HOBBIES_2_044","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"HOBBIES_2_045","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1
"HOBBIES_2_046","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
"HOBBIES_2_047","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"HOBBIES_2_048","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_049","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"HOBBIES_2_050","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"HOBBIES_2_051","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"HOBBIES_2_052","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"HOBBIES_2_053","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"HOBBIES_2_054","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"HOBBIES_2_055","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"HOBBIES_2_056","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HOBBIES_2_057","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_058","HOBBIES_2","HOBBIES","WI_1","WI",0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0
"HOBBIES_2_059","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,6,3,0,0,0,0,10,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
"HOBBIES_2_060","HOBBIES_2","HOBBIES","WI_1","WI",1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0
"HOBBIES_2_061","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_062","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_063","HOBBIES_2","HOBBIES","WI_1","WI",0,1,2,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"HOBBIES_2_064","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"HOBBIES_2_065","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0
"HOBBIES_2_066","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_067","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0
"HOBBIES_2_068","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"HOBBIES_2_069","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"HOBBIES_2_070","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0
"HOBBIES_2_071","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_072","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"HOBBIES_2_073","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"HOBBIES_2_074","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOBBIES_2_075","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,2
"HOBBIES_2_076","HOBBIES_2","HOBBIES","WI_1","WI",0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"HOBBIES_2_077","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,2,1,2,0,0,0,0,0,0
"HOBBIES_2_078","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_079","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HOBBIES_2_080","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"HOBBIES_2_081","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,2,3,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,3,0,0,1,3
"HOBBIES_2_082","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HOBBIES_2_083","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_084","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"HOBBIES_2_085","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_086","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HOBBIES_2_087","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"HOBBIES_2_088","HOBBIES_2","HOBBIES","WI_1","WI",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"HOBBIES_2_089","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"HOBBIES_2_090","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_091","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
"HOBBIES_2_092","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_093","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_094","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1
"HOBBIES_2_095","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"HOBBIES_2_096","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
"HOBBIES_2_097","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,2,0,0,0
"HOBBIES_2_098","HOBBIES_2","HOBBIES","WI_1","WI",2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HOBBIES_2_099","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0
"HOBBIES_2_100","HOBBIES_2","HOBBIES","WI_1","WI",2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"HOBBIES_2_101","HOBBIES_2","HOBBIES","WI_1","WI",1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"HOBBIES_2_102","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"HOBBIES_2_103","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HOBBIES_2_104","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"HOBBIES_2_105","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_106","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_107","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,1,1,0
"HOBBIES_2_108","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"HOBBIES_2_109","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0
"HOBBIES_2_110","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_111","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HOBBIES_2_112","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"HOBBIES_2_113","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"HOBBIES_2_114","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,3,1
"HOBBIES_2_115","HOBBIES_2","HOBBIES","WI_1","WI",2,0,1,1,2,3,0,0,2,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,0,0
"HOBBIES_2_116","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_117","HOBBIES_2","HOBBIES","WI_1","WI",2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,4,0,0,0,0,1,1,0,0,0,2,0
"HOBBIES_2_118","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_119","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HOBBIES_2_120","HOBBIES_2","HOBBIES","WI_1","WI",0,2,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,1,0
"HOBBIES_2_121","HOBBIES_2","HOBBIES","WI_1","WI",0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"HOBBIES_2_122","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_123","HOBBIES_2","HOBBIES","WI_1","WI",0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"HOBBIES_2_124","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0
"HOBBIES_2_125","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0
"HOBBIES_2_126","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,0,1,0,0,0,0,2,1,0
"HOBBIES_2_127","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"HOBBIES_2_128","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"HOBBIES_2_129","HOBBIES_2","HOBBIES","WI_1","WI",0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"HOBBIES_2_130","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"HOBBIES_2_131","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"HOBBIES_2_132","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HOBBIES_2_133","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2
"HOBBIES_2_134","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"HOBBIES_2_135","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0
"HOBBIES_2_136","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"HOBBIES_2_137","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_138","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"HOBBIES_2_139","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"HOBBIES_2_140","HOBBIES_2","HOBBIES","WI_1","WI",0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"HOBBIES_2_141","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0
"HOBBIES_2_142","HOBBIES_2","HOBBIES","WI_1","WI",1,0,8,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"HOBBIES_2_143","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"HOBBIES_2_144","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"HOBBIES_2_145","HOBBIES_2","HOBBIES","WI_1","WI",1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
"HOBBIES_2_146","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"HOBBIES_2_147","HOBBIES_2","HOBBIES","WI_1","WI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOBBIES_2_148","HOBBIES_2","HOBBIES","WI_1","WI",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"HOBBIES_2_149","HOBBIES_2","HOBBIES","WI_1","WI",0,4,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"HOUSEHOLD_1_001","HOUSEHOLD_1","HOUSEHOLD","WI_1","WI",2,1,1,1,1,1,1,1,1,0,0,1,1,0,3,2,0,0,1,1,1,0,0,0,0,2,2,1
